youtube_link,candidate,date_interview,source
https://youtu.be/pk0K3biyArA?si=zLK1Qe8FOEMmR8Ra,Keiko Fujimori,2021-02-28,Willax - Jaime Baily
https://youtu.be/IuABPbxkEw8?si=jRGoNaBT-cx9aYtZ,Keiko Fujimori,2024-07-12,Willax - Beto Ortiz
https://youtu.be/F5slgTccMo4?si=TEPkhSH60yj_8um4,Keiko Fujimori,2024-10-22,Telemadrid
https://youtu.be/IkJ-ViO90KI?si=3tQ2Q9d0NKjMn-53,Keiko Fujimori,2021-09-12,Milagros Leiva
https://youtu.be/407ivNxMKrA?si=I-6JVE2LuM6Qf6mQ,Lopez Chau,2025-05-15,Modesto Montoya
https://youtu.be/RKgOV0nboUo?si=UXv_90mFPY0KWqw6,Lopez Chau,2025-05-11,Ojo Publico
https://www.youtube.com/live/8Qkwj7BPHIE?si=b5KcEiV_0kTjP0Lz,Lopez Chau,2025-03-14,Revista Caretas
https://youtu.be/bKk4KrH_QpU?si=XjPFiQzGd-5tN-_H,Lopez Chau,2025-05-17,La República
https://youtu.be/h9FR2suUq04?si=EkyLvVpp86_sVHsq,Phillip Butters,2025-06-17,Habla Chino
https://youtu.be/OO_Ty7DVDcQ?si=7iGFAjxStis6QODg,Phillip Butters,2025-07-27,Roro Network
https://youtu.be/y8vOtrhNT6M?si=iCHkn6W47pc09Qdh,Phillip Butters,2025-05-22,Willax - Milagros Leiva
https://www.youtube.com/live/AdFy8NmvrLA?si=Z0sOQfZ2S0WAD3Zv,Phillip Butters,2025-05-16,Revista Caretas
https://youtu.be/lyNkd_EtUsU?si=H3uJDMzSJhmxWQj2,Carlos Alvarez,2025-05-14,Latina Noticias
https://youtu.be/Qyhcr_mRBr4?si=qgWbE5koE2_L3d7E,Carlos Alvarez,2025-04-14,Latina Noticias
https://youtu.be/sCf03Qsocs8?si=1cg7MI6zsUOqG9Kv,Carlos Alvarez,2025-04-16,Madi Streaming
https://youtu.be/XSlKGdApdQw?si=c1lPLEka-dImHqya,Carlos Alvarez,2025-01-19,Revista Caretas
https://www.youtube.com/live/ccvbTiQveSs?si=lCPQUc64u0c-MlQm, Phillip Butters,2025-07-04,El Diario de Curwen
